ID,単元名,問題,解答
28,縄文・弥生・古墳時代,静岡県にある、弥生時代の水田跡や住居跡が見つかった遺跡は何か。,登呂遺跡
29,縄文・弥生・古墳時代,佐賀県にある、環濠集落などが見つかり大規模な「クニ」の様子を示す遺跡は何か。,吉野ヶ里遺跡
30,縄文・弥生・古墳時代,弥生時代に祭りの道具として使われた、鐘の形をした青銅器は何か。,銅鐸
31,縄文・弥生・古墳時代,3世紀後半から盛んに造られた、方形と円形を組み合わせた形の古墳を何というか。,前方後円墳
32,縄文・弥生・古墳時代,古墳の墳丘上に並べられた、人や家、馬などの形をした焼き物を何というか。,埴輪
33,縄文・弥生・古墳時代,5世紀ごろ、九州から東北南部まで勢力を広げた、大和地方を中心とする政治連合を何というか。,大和政権
34,縄文・弥生・古墳時代,朝鮮半島から日本列島に移り住み、須恵器や漢字、仏教などを伝えた人々を何というか。,渡来人
35,縄文・弥生・古墳時代,5世紀に造られた世界最大級の古墳とされる、大阪府の大仙古墳は誰の墓と伝えられているか。,仁徳天皇（仁徳陵古墳）
36,縄文・弥生・古墳時代,古墳時代に大和政権の王が持っていた称号は何か。,大王（おおきみ）
37,縄文・弥生・古墳時代,中国の歴史書『宋書』に記述がある、中国へ使いを送った「倭の五王」の一人で、「ワカタケル大王」とされるのは誰か。,倭王武（雄略天皇）
38,中国・ギリシア・ローマと宗教の起こり,紀元前6世紀ごろ、孔子が説いた「仁」と「礼」を基本とする教えは何か。,儒学（儒教）
39,中国・ギリシア・ローマと宗教の起こり,紀元前3世紀に中国を統一し、万里の長城を築いた秦の皇帝は誰か。,始皇帝
40,中国・ギリシア・ローマと宗教の起こり,漢の時代に開かれ、中国と西方を結び、仏教などが伝わった交易路を何というか。,シルクロード（絹の道）
41,中国・ギリシア・ローマと宗教の起こり,紀元前16世紀ごろに黄河文明で栄えた、青銅器文化を持つ王朝は何か。,殷
42,中国・ギリシア・ローマと宗教の起こり,中国で殷の次に興り、封建制度を行った王朝は何か。,周
43,中国・ギリシア・ローマと宗教の起こり,古代ギリシャでアテネやスパルタなどが形成した都市国家を何というか。,ポリス
44,中国・ギリシア・ローマと宗教の起こり,マケドニアのアレクサンドロス大王の遠征により、ギリシャ文化とオリエント文化が融合して生まれた文化は何か。,ヘレニズム
45,中国・ギリシア・ローマと宗教の起こり,紀元前5世紀ごろ、インドのシャカ（釈迦）が開いた宗教は何か。,仏教
46,中国・ギリシア・ローマと宗教の起こり,パレスチナ地方でイエスが神の愛を説き、後にローマ帝国の国教となった宗教は何か。,キリスト教
47,中国・ギリシア・ローマと宗教の起こり,7世紀にアラビア半島のムハンマドが開いた、唯一神アラーを信仰する宗教は何か。,イスラム教
48,中国・ギリシア・ローマと宗教の起こり,イスラム教の聖典であり、生活や行動の規範ともなっている書物は何か。,コーラン
49,中国・ギリシア・ローマと宗教の起こり,紀元前後にパレスチナで生まれたイエスの教えを弟子たちがまとめた聖典は何か。,新約聖書
50,中国・ギリシア・ローマと宗教の起こり,ユダヤ教の唯一神であり、キリスト教やイスラム教でも信仰される神の名は。,ヤハウェ（またはアラー）
51,中国・ギリシア・ローマと宗教の起こり,釈迦（シャカ）が説いた、修行によって到達できる安らぎの境地を何というか。,さとり
52,飛鳥・奈良時代,6世紀末に推古天皇の摂政となり、天皇中心の政治を目指した人物は誰か。,聖徳太子（厩戸皇子）
53,飛鳥・奈良時代,聖徳太子が定めた、家柄にとらわれず才能や功績のある人物を役人に採用する制度は何か。,冠位十二階
54,飛鳥・奈良時代,聖徳太子が定めた、役人の心構えを示した法令は何か。,十七条の憲法
55,飛鳥・奈良時代,聖徳太子が中国（隋）の進んだ制度や文化を取り入れるために派遣した使節を何というか。,遣隋使
56,飛鳥・奈良時代,聖徳太子が建てた寺院で、世界最古の木造建築物とされるものは何か。,法隆寺
57,飛鳥・奈良時代,645年、中大兄皇子と中臣鎌足らが蘇我氏を倒して始めた政治改革を何というか。,大化の改新
58,飛鳥・奈良時代,大化の改新で示された、土地と人民を国家が直接支配する原則を何というか。,公地・公民
59,飛鳥・奈良時代,663年、日本が百済復興のために送った軍が、唐・新羅の連合軍に大敗した戦いは何か。,白村江の戦い
60,飛鳥・奈良時代,天智天皇の死後、跡継ぎをめぐって起きた内乱を何というか。,壬申の乱
61,飛鳥・奈良時代,日本最初の本格的な都として造られた都は何か。,藤原京
62,飛鳥・奈良時代,701年に制定され、律（刑罰）と令（政治の決まり）に基づく政治体制を確立した法律は何か。,大宝律令
63,飛鳥・奈良時代,飛鳥時代を中心に栄えた、法隆寺の釈迦三尊像などに代表される日本最初の仏教文化を何というか。,飛鳥文化
64,飛鳥・奈良時代,710年に唐の長安にならって奈良に造られた都は何か。,平城京
65,飛鳥・奈良時代,奈良時代に、戸籍に基づいて6歳以上の男女に区分田を与えた制度を何というか。,班田収授法
66,飛鳥・奈良時代,奈良時代の税制度で、収穫した稲の約3%を納める税を何というか。,租
67,飛鳥・奈良時代,奈良時代の税制度で、特産物（布など）を納める税を何というか。,調
68,飛鳥・奈良時代,奈良時代の税制度で、都での労役の代わりに布を納める税を何というか。,庸
69,飛鳥・奈良時代,九州北部の防衛のために配置された兵士を何というか。,防人
70,飛鳥・奈良時代,743年に出された、新しく開墾した土地の永久私有を認める法令は何か。,墾田永年私財法
71,飛鳥・奈良時代,仏教の力で国を守ろうとし、東大寺の大仏を造らせた天皇は誰か。,聖武天皇
72,飛鳥・奈良時代,聖武天皇が国ごとに建てさせた寺院を総称して何というか。,国分寺・国分尼寺
73,飛鳥・奈良時代,唐から苦難の末に来日し、唐招提寺を建てて正しい仏教の戒律を伝えた僧は誰か。,鑑真
74,飛鳥・奈良時代,奈良時代にまとめられた、天皇や貴族だけでなく防人や農民の歌も収められた和歌集は何か。,万葉集
75,飛鳥・奈良時代,日本という国の起こりを記すためにまとめられた歴史書を2つ挙げよ。,古事記・日本書紀
76,飛鳥・奈良時代,地方の国ごとに自然や産物、伝承などを記した地誌を何というか。,風土記
77,飛鳥・奈良時代,708年に発行された、日本最初の流通貨幣とされるお金は何か。,和同開珎
78,飛鳥・奈良時代,奈良時代に聖武天皇の元号にちなんで呼ばれる、唐の影響を受けた国際色豊かな文化は何か。,天平文化
79,飛鳥・奈良時代,東大寺にある、聖武天皇ゆかりの品々やシルクロード経由の宝物が収められた倉庫は何か。,正倉院（正倉院宝物）
80,平安時代,794年に桓武天皇が京都に移した都を何というか。,平安京
81,平安時代,桓武天皇により征夷大将軍に任命され、東北地方の蝦夷を平定した人物は誰か。,坂上田村麻呂
82,平安時代,最澄が比叡山延暦寺を拠点に開いた仏教の宗派は何か。,天台宗
83,平安時代,空海が高野山金剛峯寺を拠点に開いた仏教の宗派は何か。,真言宗
84,平安時代,894年、菅原道真の建議により停止された中国への使節は何か。,遣唐使
85,平安時代,藤原氏が天皇が幼いときは摂政、成人後は関白として実権を握った政治を何というか。,摂関政治
86,平安時代,摂関政治の全盛期を築いた藤原氏の親子は誰か。,藤原道長・頼通
87,平安時代,遣唐使の停止後、日本の風土や生活感情に合わせて生まれた文化を何というか。,国風文化
88,平安時代,漢字を変形させて日本語の発音を表せるようにした日本独自の文字は何か。,仮名文字
89,平安時代,紫式部が仮名文字を用いて書いた長編小説は何か。,源氏物語
90,平安時代,清少納言が仮名文字を用いて書いた随筆は何か。,枕草子
91,平安時代,平安時代の貴族の住宅様式で、寝殿を中心に廊下で建物をつないだものを何というか。,寝殿造
92,平安時代,念仏を唱えて阿弥陀如来にすがり、死後に極楽浄土へ生まれ変わることを願う信仰は何か。,浄土信仰
93,平安時代,藤原頼通が宇治に建てた、浄土信仰を代表する阿弥陀堂建築は何か。,平等院鳳凰堂
94,平安時代,平安時代末期に、上皇が天皇の位を譲った後も政治の実権を握り続けた政治形態は何か。,院政
95,平安時代,1159年の平治の乱で源義朝を破り、武士として初めて太政大臣になった人物は誰か。,平清盛
96,平安時代,平清盛が兵庫の港を整備して行った、宋（中国）との貿易を何というか。,日宋貿易
97,平安時代,平安時代初期、朝廷が東北地方の蝦夷の指導者として戦った人物は誰か。,アテルイ
98,平安時代,平安時代に地方の政治が乱れる中、国司の不正を訴えた尾張国の郡司・農民の訴状に出てくる国司は誰か。,藤原元命
99,平安時代,10世紀に平将門が反乱を起こした地域はどこか。,北関東
100,平安時代,10世紀に藤原純友が反乱を起こした地域はどこか。,瀬戸内地方
101,平安時代,11世紀後半に東北地方で起こった前九年・後三年合戦を鎮め、東日本に源氏の勢力を広げた人物は誰か。,源義家
102,平安時代,源義家の子孫などが東北地方の平泉を拠点に築いた、中尊寺金色堂などで知られる勢力は。,奥州藤原氏
103,平安時代,平安時代末期に流行した、念仏を唱えることで極楽往生を願う信仰を広めた僧で、市の聖と呼ばれたのは。,空也（または一遍など）※資料には空也の記述なし、浄土信仰の説明として
104,鎌倉時代,平氏を壇ノ浦で滅ぼし、鎌倉に幕府を開いた源氏の棟梁は誰か。,源頼朝
105,鎌倉時代,1185年に源頼朝が国ごとに設置し、軍事・警察や御家人の統率を行わせた役職は何か。,守護
106,鎌倉時代,1185年に源頼朝が荘園や公領ごとに設置し、年貢の取り立てや土地の管理を行わせた役職は何か。,地頭
107,鎌倉時代,将軍と御家人の間の「土地を仲立ちとした主従関係」を何というか。,御恩と奉公
108,鎌倉時代,源頼朝の死後、幕府の実権を握った北条氏が就いた、将軍を補佐する役職は何か。,執権
109,鎌倉時代,1221年、後鳥羽上皇が幕府の勢力を倒そうとして挙兵し、敗れた戦いは何か。,承久の乱
110,鎌倉時代,承久の乱の後、幕府が朝廷の監視や西日本の統御のために京都に置いた機関は何か。,六波羅探題
111,鎌倉時代,1232年に北条泰時が定めた、武士による最初の成文法（裁判の基準）は何か。,御成敗式目（貞永式目）
112,鎌倉時代,鎌倉時代に同じ耕地で米と麦を交互に作る農業技術が始まった。これを何というか。,二毛作
113,鎌倉時代,13世紀後半、二度にわたり日本に襲来したモンゴル帝国（元）との戦いを総称して何というか。,元寇
114,鎌倉時代,元寇の時の鎌倉幕府の執権で、元軍の襲来に対処した人物は誰か。,北条時宗
115,鎌倉時代,元寇の後、生活が苦しくなった御家人を救うために幕府が出した借金帳消しの法令は何か。,徳政令（永仁の徳政令）
116,鎌倉時代,源頼朝が伊豆で挙兵し、鎌倉を本拠地とした後、弟の誰が平氏を滅ぼしたか。,源義経
117,鎌倉時代,承久の乱に勝利した幕府が、朝廷側から没収した土地に新たに任命した地頭を何というか。（※資料外知識だが文脈補足）資料では「領地を取り上げた」記述あり。,新補地頭（※資料に基づくなら「地頭」の権限拡大）
118,鎌倉時代,後鳥羽上皇の命令で編集された和歌集は何か。,新古今和歌集
119,鎌倉時代,鴨長明が書いた、人生のはかなさなどを記した随筆は何か。,方丈記
120,鎌倉時代,兼好法師が書いた、民衆の姿などを描いた随筆は何か。,徒然草
121,鎌倉時代,時宗の開祖で、踊念仏によって布教を行った僧は誰か。,一遍
122,鎌倉時代,臨済宗を日本に伝え、座禅による悟りを説いた僧は誰か。,栄西
123,鎌倉時代,マルコ・ポーロが日本を紹介した旅行記の書名は。,東方見聞録（世界の記述）
124,鎌倉時代,「南無阿弥陀仏」と念仏を唱えれば救われると説いた浄土宗の開祖は誰か。,法然
125,鎌倉時代,法然の弟子で、悪人こそが救われると説き浄土真宗（一向宗）を開いたのは誰か。,親鸞
126,鎌倉時代,「南無妙法蓮華経」の題目を唱えることを説き、日蓮宗（法華宗）を開いたのは誰か。,日蓮
127,鎌倉時代,座禅によって悟りを開く禅宗を日本に伝えた僧で、曹洞宗の開祖は誰か。,道元
128,鎌倉時代,東大寺南大門の金剛力士像などを制作した、鎌倉時代を代表する仏師は誰か。,運慶
129,鎌倉時代,琵琶法師によって語り継がれた、平氏の繁栄と滅亡を描いた軍記物は何か。,平家物語
130,鎌倉時代,鎌倉新仏教のうち、一遍が開いた時宗の特徴的な布教方法は。,踊念仏（おどり念仏）
131,鎌倉時代,鎌倉時代に東大寺南大門を再建した際、取り入れられた建築様式は。,大仏様（宋の建築様式）
132,室町時代,鎌倉幕府を滅ぼした後、天皇中心の政治（建武の新政）を行った天皇は誰か。,後醍醐天皇
133,室町時代,建武の新政に不満を持つ武士を率いて挙兵し、室町幕府を開いた人物は誰か。,足利尊氏
134,室町時代,足利尊氏が北朝を立てたのに対し、後醍醐天皇が吉野に南朝を立てて対立した時代を何というか。,南北朝時代
135,室町時代,南北朝の合一を実現し、室町幕府の最盛期を築いた第3代将軍は誰か。,足利義満
136,室町時代,室町幕府において、将軍を補佐し政務を統括した役職は何か。,管領
137,室町時代,14世紀に中国大陸沿岸や朝鮮半島を荒らし回った武装集団を何というか。,倭寇
138,室町時代,足利義満が明（中国）と行った貿易で、正式な貿易船の証明として使われた割符は何か。,勘合
139,室町時代,1429年に沖縄島を統一して成立し、中継貿易で栄えた国は何か。,琉球王国
140,室町時代,室町時代に農民が作った自治組織を何というか。,惣（惣村）
141,室町時代,団結した農民が借金の帳消しなどを求めて起こした実力行使を何というか。,土一揆
142,室町時代,1467年に始まり、京都の大半を焼き尽くして戦国時代のきっかけとなった戦乱は何か。,応仁の乱
143,室町時代,応仁の乱以降の、身分の下の者が実力で上の者を倒す風潮を何というか。,下剋上
144,室町時代,京都の商工業者による同業者団体で、営業を独占する権利を持ったものを何というか。,座
145,室町時代,室町時代に運送業を営み、馬を使って物資を運んだ業者を何というか。,馬借
146,室町時代,後醍醐天皇による建武の新政が崩れたきっかけとなった、1335年の反乱（中先代の乱）の混乱に乗じて挙兵した人物。,足利尊氏
147,室町時代,室町幕府が京都の室町に置かれたことから、3代将軍義満が建てた邸宅は何と呼ばれるか。,花の御所
148,室町時代,室町幕府が置いた、関東8国などを支配するための機関は。,鎌倉府
149,室町時代,15世紀に朝鮮半島で高麗を倒して建国された国は。,朝鮮国（李氏朝鮮）
150,室町時代,朝鮮国で15世紀に作られた独自の文字は。,ハングル（訓民正音）
151,室町時代,北海道（蝦夷地）のアイヌ民族が、和人の進出に対して1457年に起こした戦いの指導者は。,コシャマイン
152,室町時代,室町時代に京都などで高利貸しを営み、土一揆の襲撃対象にもなった業者は。,土倉・酒屋
153,室町時代,室町時代の農村で、寄合を開き、村の掟（おきて）を定めた自治組織の中心人物たちを何というか。,有力な農民（乙名・沙汰人など）※資料では「有力な農民」
154,室町時代,1428年に近畿地方で起こり、「正長の徳政」を勝ち取った土一揆を何というか。,正長の土一揆
155,室町時代,1485年に山城国（京都府）で国人や農民が守護大名を追い出し、8年間の自治を行った一揆は。,山城国一揆
156,室町時代,琉球王国で首里城正殿に掲げられた鐘の銘文にある、琉球が目指した役割を表す言葉は。,万国津梁（世界の架け橋）
157,室町時代,足利義満の時代に栄えた、公家文化と武家文化が融合した文化を何というか。,北山文化
158,室町時代,足利義満が京都の北山に建てた、北山文化を代表する建築物は何か。,金閣
159,室町時代,観阿弥・世阿弥親子によって大成された、能面をつけて演じる芸能は何か。,能
160,室町時代,足利義政の時代に栄えた、禅宗の影響を受けた簡素で気品のある文化を何というか。,東山文化
161,室町時代,足利義政が京都の東山に建てた、東山文化を代表する建築物は何か。,銀閣
162,室町時代,銀閣の東求堂同仁斎に見られる、床の間などを備えた後の日本住宅の原型となった建築様式は何か。,書院造
163,室町時代,明で絵画を学び、日本独自の水墨画を大成した人物は誰か。,雪舟
164,室町時代,禅宗寺院で見られる、水を使わずに石や砂で山水を表現した庭園様式は何か。,枯山水
165,室町時代,「一寸法師」など、室町時代に庶民の間で読まれた絵入りの物語を何というか。,御伽草子
166,室町時代,狂言は能の合間に演じられるが、その内容はどのようなものか。,民衆の生活や感情を反映した喜劇（滑稽な劇）
167,室町時代,室町時代に流行した、多人数で和歌の上の句と下の句を詠みつないでいく文芸は。,連歌
168,室町時代,京都の町衆が応仁の乱後に復興させた、八坂神社の祭礼は。,祇園祭
169,室町時代,室町時代に関東管領上杉氏が再興し、儒学などを教えた学校は。,足利学校
170,戦国・安土桃山時代,各地の実力者が守護大名に代わって領国を支配し、独自に領国経営を行った大名を何というか。,戦国大名
171,戦国・安土桃山時代,戦国大名が領国を治めるために独自に定めた法律を何というか。,分国法
172,戦国・安土桃山時代,戦国大名が城の周辺に家来や商工業者を集めて造った町を何というか。,城下町
173,戦国・安土桃山時代,加賀（石川県）で浄土真宗の信徒らが守護大名を倒し、約100年間自治を行った一揆は何か。,一向一揆
174,戦国・安土桃山時代,戦国大名が定めた分国法の一つで、朝倉氏が定めたものは。,朝倉孝景条々
175,戦国・安土桃山時代,戦国大名が定めた分国法の一つで、武田氏が定めた「喧嘩両成敗」などで知られるものは。,甲州法度之次第
176,戦国・安土桃山時代,戦国大名の保護を受けて開発が進み、世界有数の産出量を誇った島根県の銀山は。,石見銀山
177,中世のヨーロッパ,11世紀末から聖地エルサレム奪回のためにヨーロッパから派遣された軍隊は。,十字軍
178,中世のヨーロッパ,1517年、免罪符の販売を批判し、ドイツで宗教改革を始めた人物は誰か。,ルター
179,中世のヨーロッパ,宗教改革によってカトリック教会から分離した新しいキリスト教の宗派を総称して何というか。,プロテスタント
180,中世のヨーロッパ,カトリック教会が宗教改革に対抗して設立し、海外布教に力を入れた修道会は何か。,イエズス会
181,中世のヨーロッパ,14〜16世紀にヨーロッパで広まった、古代ギリシャ・ローマの文化を復興し人間性を尊重する文化運動は何か。,ルネサンス（文芸復興）
182,中世のヨーロッパ,ルネサンス期に活躍し、「ダビデ像」などの彫刻を残した芸術家は。,ミケランジェロ
183,中世のヨーロッパ,16世紀にスペインが滅ぼした、メキシコにあった先住民の帝国は。,アステカ帝国
184,中世のヨーロッパ,16世紀にスペインが滅ぼした、ペルー（アンデス地方）にあった先住民の帝国は。,インカ帝国
185,中世のヨーロッパ,ヨーロッパ、アフリカ、アメリカ大陸を結び、奴隷貿易などを含んだ貿易体制を何というか。,三角貿易
186,中世のヨーロッパ,16世紀後半にスペインから独立し、東インド会社を設立して貿易で繁栄した国は。,オランダ
187,中世のヨーロッパ,1492年に大西洋を横断し、カリブ海の島（アメリカ大陸近海）に到達した人物は誰か。,コロンブス
188,中世のヨーロッパ,1498年にアフリカ南端を回ってインドに到達したポルトガルの航海者は誰か。,バスコ・ダ・ガマ
189,中世のヨーロッパ,1519年に世界一周の航海に出発し、その船隊が初めて世界一周を達成した人物は誰か。,マゼラン
190,戦国・安土桃山時代,長崎をイエズス会に寄進したキリシタン大名は。,大村純忠（大村氏）
191,戦国・安土桃山時代,1543年、種子島に漂着したポルトガル人が日本に伝えた武器は何か。,鉄砲
192,戦国・安土桃山時代,1549年、鹿児島に来航し、日本に初めてキリスト教を伝えたイエズス会の宣教師は誰か。,ザビエル
193,戦国・安土桃山時代,ポルトガル人やスペイン人を「南蛮人」と呼び、彼らと行った貿易を何というか。,南蛮貿易
194,戦国・安土桃山時代,キリスト教に入信した戦国大名を何というか。,キリシタン大名
195,戦国・安土桃山時代,大友宗麟らがローマ教皇のもとに派遣した、4人の少年からなる使節を何というか。,天正遣欧使節
196,戦国・安土桃山時代,大阪府堺市などで生産された鉄砲は、どの職人によって作られたか。,鍛冶（刀鍛冶）
197,戦国・安土桃山時代,鉄砲伝来後、戦国大名の戦い方はどのように変化したか。,足軽鉄砲隊などを用いた集団戦法へ変化
198,戦国・安土桃山時代,ザビエルの後、来日した宣教師たちが行った布教以外の活動は。,医療や教育などの慈善事業
199,戦国・安土桃山時代,南蛮貿易で日本が主に輸出した鉱物は。,銀
200,戦国・安土桃山時代,南蛮貿易で日本が主に輸入した中国産の品物は。,生糸・絹織物
```,,,
